Pnr,PnrTyp,Tilltalskod,Fnamn,Mnamn,Enamn,Lan,Kommun,Fors,FbUtdelAdr2,FbPostnr,FbPostort,AvrOrsak,AviNamn,FbAviUtdelAdr,FbAviPostnr,FbAviPostort,Kon,SekrMark
189003039816,P,10,Henrik, ,Fluviatilis,1,80,99,Dalagatan 35B,11323,Stockholm,AV,"Fluviatilis, Henrik",Dalagatan 35B,11323,Stockholm    ,M,N
189805279800,P,10,Anna Greta, ,Bandicota,1,36,99,Allévägen 9A,13756,Tungelsta,AV,"Bandicota, Anna Greta",Allévägen 9A,13756,Tungelsta    ,K,N
189901059817,P,10,Johan, ,Doe,1,40,99,Eldarevägen 13,15531,Nykvarn,  ,"Doe, Johan",Eldarevägen 13,15531,Nykvarn      ,M,N
189905059813,P,10,John, ,Doe,1,36,99,Furunäs 30,13770,Dalarö,  ,"Doe, John",Furunäs 30,13770,Dalarö       ,M,N
190101019818,P,12,Mario, ,Ophidion,1,20,99,Barrstigen 7,13936,Värmdö,  ,"Ophidion, Mario",Barrstigen 7/Al,13936,Värmdö       ,M,N
190201019809,P,10,Frida, ,Gemsar,1,83,99,Lekplatsvägen 1,17271,Sundbyberg,  ,"Gemsar, Frida",Lekplatsvägen 1,17271,Sundbyberg   ,K,N
190301019816,P,10,Karl, ,Sigmodon,1,80,99,Hövdingagatan 13,12652,Hägersten,AV,"Sigmodon, Karl",Hövdingagatan 13,12652,Hägersten    ,M,N
190401019807,P,10,Ulfina, ,Getgaseller,1,80,99,Tideliusgatan 27,11869,Stockholm,AV,"Getgaseller, Ulfina",Tideliusgatan 27,11869,Stockholm    ,K,N
190501019863,P,10,Inga, ,Gräsråttor,1,40,99,Eldarevägen 13,15531,Nykvarn,AV,"Gräsråttor, Inga",Eldarevägen 13,15531,Nykvarn      ,K,N
190601019854,P,10,Mohamed, ,Goraler,1,62,99,Vendevägen 5F,18269,Djursholm,GN,"Goraler, Mohamed",Vendevägen 5F,18269,Djursholm    ,M,N
190701019804,P,10,Olivia, ,Dik-dikar,1,82,99,Sturevägen,13338,Saltsjöbaden,GN,"Dik-dikar, Olivia",Sturevägen,13338,Saltsjöbaden ,K,N
190801019811,P,10,Jonas, ,Grysbokar,1,27,99,Månskensvägen 38,14646,Tullinge,AN,"Grysbokar, Jonas",Månskensvägen 38/Vresalm,14646,Tullinge     ,M,N
190901019810,P,10,Sonny, ,Molva,1,27,99,Månskensvägen 38,14646,Tullinge,  ,"Molva, Sonny",Månskensvägen 38,14646,Tullinge     ,M,N
191001019809,P,10,Berit, ,Grådykare,1,26,99,Stationsvägen 34A,14140,Huddinge,  ,"Grådykare, Berit",Stationsvägen 34A/Fraxinus,14140,Huddinge     ,K,N
191102129820,P,10,Agnes, ,Grysbokar,1,83,99,Lekplatsvägen 1,17271,Sundbyberg,AN,"Grysbokar, Agnes",Lekplatsvägen 1,17271,Sundbyberg   ,K,N
191202119150,P,10,Axel, ,Gräsmöss,1,80,99,Hövdingagatan 13,12652,Hägersten,  ,"Gräsmöss, Axel",Hövdingagatan 13/Bok,12652,Hägersten    ,M,N
192001011564,P,12,Ann-Christin, ,Limanda,1,81,99,Metarvägen 3,15335,Järna,AN,"Limanda, Ann-Christin",Metarvägen 3,15335,Järna        ,K,N
192001050455,P,10,Bertil, ,Gräsråttor,1,81,99,Mörtstigen 30,15139,Södertälje,AV,"Gräsråttor, Bertil",Mörtstigen 30,15139,Södertälje   ,M,N
192001059266,P,10,Ingeborg, ,Jätteflygfalanger,1,39,99,Finnstastigen 88,19735,Bro,  ,"Jätteflygfalanger, Ingeborg",Finnstastigen 88,19735,Bro          ,K,N
192001129283,P,10,Maj, ,Scombrus,1,23,99,Bråvallavägen,17561,Järfälla,OB,"Scombrus, Maj",Bråvallavägen,17561,Järfälla     ,K,N
