FK_RESENAR,PK_ARENDE,ARENDE_FARDSATT,ARENDE_ANTAL_LEDSAGARE,ARENDE_ELMOPED,ARENDE_ENSAMAKNING,ARENDE_FRAMSATESPLACERING,ARENDE_ALLERGIANPASSAT,ARENDE_HUND,ARENDE_LANSGRANSDISPENS,ARENDE_BATTAXI,ARENDE_BRYGGA_1,ARENDE_BRYGGA_2
189003039816,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Brygga 1,Brygga 2
189805279800,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
189901059817,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
189905059813,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
190101019818,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
190201019809,,Taxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
190301019816,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
190401019807,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
190501019863,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
190601019854,,Taxi,0,Ja,Ja,Ja,Ja, , , ,,
190701019804,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
190801019811,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
190901019810,,Taxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
191001019809,,Taxi,0,Ja,Ja,Ja,Nej, , , ,,
191102129820,,Taxi,0,Ja,Ja,Ja, , , , ,,
191202119150,,Bartaxi,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,,
192001011564,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej, ,,
192001050455,,Taxi,0,Ja,Ja,Nej,Nej,Nej, , ,,
192001059266,,Taxi,0,Ja,Ja,Nej,Nej, , , ,,
192001129283,,Taxi,0,Ja,Ja,Nej, , , , ,,
192001239272,,Bartaxi,0,Ja,Ja, , , , , ,,
192002039242,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,,
192002169239,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej, ,,
192101069249,,Taxi,0,Ja,Nej,Nej,Nej,Nej, , ,,
192201059272,,Rullstolstaxi,0,Ja,Nej,Nej,Nej, , , ,,
192211203472,,Taxi,0,Ja,Nej,Nej, , , , ,,
192301149247,,Taxi,0,Ja,Nej, , , , , ,,
192401297250,,Rullstolstaxi,0,Ja, , , , , , ,,
192501239202,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,
192502016773,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej, ,,
192604278156,,Taxi,0,Nej,Nej,Nej,Nej,Nej, , ,,
192703039202,,Taxi,0,Nej,Nej,Nej,Nej, , , ,,
192712077490,,Taxi,0,Nej,Nej,Nej, , , , ,,
192804129175,,Taxi,0,Nej,Nej, , , , , ,,
192902137666,,Taxi,0,Nej, , , , , , ,,
193001016595,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Brygga 1,Brygga 2
193102278367,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
193203289131,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
193212249282,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
193407116999,,Rullstolstaxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
