"PK_RESENAR","RESENAR_KUNDNUMMER","RESENAR_CREATE","RESENAR_OWNER"
189003039816,"","N","NONE"
189805279800,"","N","NONE"
189901059817,"","N","NONE"
189905059813,"","N","NONE"
190101019818,"","N","NONE"
190201019809,"","N","NONE"
190301019816,"","N","NONE"
190401019807,"","N","NONE"
190501019863,"","N","NONE"
190601019854,"","N","NONE"
190701019804,"","N","NONE"
190801019811,"","N","NONE"
190901019810,"","N","NONE"
191001019809,"","N","NONE"
191102129820,"","N","NONE"
191202119150,"","N","NONE"
192001011564,"","N","NONE"
192001050455,"","N","NONE"
192001059266,"","N","NONE"
192001129283,"","N","NONE"
192001239272,"","N","NONE"
192002039242,"","N","NONE"
192002169239,"","N","NONE"
192101069249,"","N","NONE"
192201059272,"","N","NONE"
192211203472,"","N","NONE"
192301149247,"","N","NONE"
192401297250,"","N","NONE"
192501239202,"","N","NONE"
192502016773,"","N","NONE"
192604278156,"","N","NONE"
192703039202,"","N","NONE"
192712077490,"","N","NONE"
192804129175,"","N","NONE"
192902137666,"","N","NONE"
193001016595,"","N","NONE"
193102278367,"","N","NONE"
193203289131,"","N","NONE"
193212249282,"","N","NONE"
193407116999,"","N","NONE"
193506226962,"","N","NONE"
193605227317,"","N","NONE"
193708197474,"","N","NONE"
193710219209,"","N","NONE"
193801147061,"","N","NONE"
193801248471,"","N","NONE"
193802169155,"","N","NONE"
193802278485,"","N","NONE"
193803039142,"","N","NONE"
193803129182,"","N","NONE"
193804019036,"","N","NONE"
193804139149,"","N","NONE"
193804169245,"","N","NONE"
193805089145,"","N","NONE"
193805259169,"","N","NONE"
193806079079,"","N","NONE"
193806099101,"","N","NONE"
193807106590,"","N","NONE"
193808319192,"","N","NONE"
193809098894,"","N","NONE"
193810157093,"","N","NONE"
193811214059,"","N","NONE"
193812038895,"","N","NONE"
193812217044,"","N","NONE"
193901199020,"","N","NONE"
193902218886,"","N","NONE"
193903049165,"","N","NONE"
193904286873,"","N","NONE"
193905165407,"","N","NONE"
193905299198,"","N","NONE"
193906218890,"","N","NONE"
193907116580,"","N","NONE"
193907189090,"","N","NONE"
193908199163,"","N","NONE"
193908238490,"","N","NONE"
193909099206,"","N","NONE"
193909189205,"","N","NONE"
193909208419,"","N","NONE"
193910179203,"","N","NONE"
193910219181,"","N","NONE"
193910288194,"","N","NONE"
193911019143,"","N","NONE"
193911137077,"","N","NONE"
193912298894,"","N","NONE"
194001279050,"","N","NONE"
194002049163,"","N","NONE"
194002087874,"","N","NONE"
194002219113,"","N","NONE"
194002287086,"","N","NONE"
194003137033,"","N","NONE"
194003189083,"","N","NONE"
194004019180,"","N","NONE"
194006038873,"","N","NONE"
194006139184,"","N","NONE"
194006178307,"","N","NONE"
194006228979,"","N","NONE"
194007219142,"","N","NONE"
194008097497,"","N","NONE"
194009109077,"","N","NONE"
194009279169,"","N","NONE"
194010017053,"","N","NONE"
194010126672,"","N","NONE"
194010169185,"","N","NONE"
194011279090,"","N","NONE"
194011306125,"","N","NONE"
194012019149,"","N","NONE"
194012037224,"","N","NONE"
194012178887,"","N","NONE"
194012197010,"","N","NONE"
194012239101,"","N","NONE"
194101106393,"","N","NONE"
194101144733,"","N","NONE"
194101267013,"","N","NONE"
194102013770,"","N","NONE"
194102033877,"","N","NONE"
194103027092,"","N","NONE"
194103219202,"","N","NONE"
194103319036,"","N","NONE"
194104148871,"","N","NONE"
194104158193,"","N","NONE"
194105039038,"","N","NONE"
194106067699,"","N","NONE"
194106279161,"","N","NONE"
194107086995,"","N","NONE"
194107149207,"","N","NONE"
194108019052,"","N","NONE"
194108279185,"","N","NONE"
194109157059,"","N","NONE"
194109229080,"","N","NONE"
194111299055,"","N","NONE"
194112128154,"","N","NONE"
194112169182,"","N","NONE"
194202269207,"","N","NONE"
194203027018,"","N","NONE"
194203249034,"","N","NONE"
194205167051,"","N","NONE"
194206044739,"","N","NONE"
194206147490,"","N","NONE"
194206178420,"","N","NONE"
194207016835,"","N","NONE"
194207189095,"","N","NONE"
194207294796,"","N","NONE"
194207318785,"","N","NONE"
194208106593,"","N","NONE"
194208138844,"","N","NONE"
194208174732,"","N","NONE"
194209039140,"","N","NONE"
194209177072,"","N","NONE"
194209186974,"","N","NONE"
194210078418,"","N","NONE"
194210198174,"","N","NONE"
194210219269,"","N","NONE"
194210228476,"","N","NONE"
194211016151,"","N","NONE"
194301307056,"","N","NONE"
194302029204,"","N","NONE"
194302096997,"","N","NONE"
194303177093,"","N","NONE"
194303193454,"","N","NONE"
194303269049,"","N","NONE"
194304074695,"","N","NONE"
194305054753,"","N","NONE"
194305166995,"","N","NONE"
194306134760,"","N","NONE"
194307039042,"","N","NONE"
194307199069,"","N","NONE"
194308124694,"","N","NONE"
194309094714,"","N","NONE"
194309189126,"","N","NONE"
194309269225,"","N","NONE"
194310236593,"","N","NONE"
194310308442,"","N","NONE"
194311029005,"","N","NONE"
194311097093,"","N","NONE"
194312095450,"","N","NONE"
194312298245,"","N","NONE"
194401077674,"","N","NONE"
194401168481,"","N","NONE"
194401197480,"","N","NONE"
194401216496,"","N","NONE"
194401216595,"","N","NONE"
194401229085,"","N","NONE"
194402109062,"","N","NONE"
194402168597,"","N","NONE"
194402273462,"","N","NONE"
194403059100,"","N","NONE"
194403113154,"","N","NONE"
194403157078,"","N","NONE"
194404136055,"","N","NONE"
194404277461,"","N","NONE"
194405013493,"","N","NONE"
194405149057,"","N","NONE"
194405229206,"","N","NONE"
194405307051,"","N","NONE"
194406098824,"","N","NONE"
194406127029,"","N","NONE"
194406187692,"","N","NONE"
194407148180,"","N","NONE"
194407237058,"","N","NONE"
194408028878,"","N","NONE"
194409013838,"","N","NONE"
194409106855,"","N","NONE"
194409149061,"","N","NONE"
194409168269,"","N","NONE"
194409237312,"","N","NONE"
194410119046,"","N","NONE"
194410188876,"","N","NONE"
194411155858,"","N","NONE"
194411219183,"","N","NONE"
194412198154,"","N","NONE"
194501103297,"","N","NONE"
194501128278,"","N","NONE"
194501278883,"","N","NONE"
194502073416,"","N","NONE"
194502198429,"","N","NONE"
194502253190,"","N","NONE"
194502278353,"","N","NONE"
194503135883,"","N","NONE"
194505249229,"","N","NONE"
194506177031,"","N","NONE"
194506177551,"","N","NONE"
194506218983,"","N","NONE"
194507018820,"","N","NONE"
194507167072,"","N","NONE"
194508236728,"","N","NONE"
194509287068,"","N","NONE"
194510106331,"","N","NONE"
194510168885,"","N","NONE"
194510194659,"","N","NONE"
194511118780,"","N","NONE"
194512088149,"","N","NONE"
194512137250,"","N","NONE"
194512267743,"","N","NONE"
194601136098,"","N","NONE"
194601274758,"","N","NONE"
194602138184,"","N","NONE"
194602226559,"","N","NONE"
194602233415,"","N","NONE"
194603213424,"","N","NONE"
194604123275,"","N","NONE"
194605076654,"","N","NONE"
194606109108,"","N","NONE"
194606233411,"","N","NONE"
194607054725,"","N","NONE"
194607137454,"","N","NONE"
194607177872,"","N","NONE"
194608154714,"","N","NONE"
194610196695,"","N","NONE"
194611213010,"","N","NONE"
194701053151,"","N","NONE"
194701124622,"","N","NONE"
194701222798,"","N","NONE"
194702122658,"","N","NONE"
194702143464,"","N","NONE"
194703103111,"","N","NONE"
194704187006,"","N","NONE"
194705233171,"","N","NONE"
194706112234,"","N","NONE"
194707193290,"","N","NONE"
194709201836,"","N","NONE"
194710162381,"","N","NONE"
194711232365,"","N","NONE"
194711302267,"","N","NONE"
194801171770,"","N","NONE"
194801232606,"","N","NONE"
194802082364,"","N","NONE"
194802162174,"","N","NONE"
194803022328,"","N","NONE"
194804032094,"","N","NONE"
194805111855,"","N","NONE"
194805192749,"","N","NONE"
194806172682,"","N","NONE"
194806212231,"","N","NONE"
194807073103,"","N","NONE"
194807073228,"","N","NONE"
194807171899,"","N","NONE"
194808192530,"","N","NONE"
194808262341,"","N","NONE"
194809132386,"","N","NONE"
194809301551,"","N","NONE"
194810042368,"","N","NONE"
194810162331,"","N","NONE"
194811092529,"","N","NONE"
194811172115,"","N","NONE"
194812161596,"","N","NONE"
194812212282,"","N","NONE"
194901022121,"","N","NONE"
194901022188,"","N","NONE"
194902283045,"","N","NONE"
194903012658,"","N","NONE"
194903312215,"","N","NONE"
194904202621,"","N","NONE"
194904262153,"","N","NONE"
194905232841,"","N","NONE"
194906062213,"","N","NONE"
194906182284,"","N","NONE"
194907282315,"","N","NONE"
194909162150,"","N","NONE"
194909272306,"","N","NONE"
195001182046,"","N","NONE"
195001182061,"","N","NONE"
195001232296,"","N","NONE"
195002132461,"","N","NONE"
195002192382,"","N","NONE"
195002281839,"","N","NONE"
195003042222,"","N","NONE"
195003072260,"","N","NONE"
195003151858,"","N","NONE"
195003282265,"","N","NONE"
195004112354,"","N","NONE"
195004302120,"","N","NONE"
195005050975,"","N","NONE"
195005202360,"","N","NONE"
195005251599,"","N","NONE"
195006142524,"","N","NONE"
195006262546,"","N","NONE"
195006272354,"","N","NONE"
195007282162,"","N","NONE"
195007292435,"","N","NONE"
195007312589,"","N","NONE"
195008072307,"","N","NONE"
195008121856,"","N","NONE"
195008182304,"","N","NONE"
195008212226,"","N","NONE"
195009101824,"","N","NONE"
195009162040,"","N","NONE"
195009301770,"","N","NONE"
195010172483,"","N","NONE"
195010232618,"","N","NONE"
195011012365,"","N","NONE"
195011052478,"","N","NONE"
195011132098,"","N","NONE"
195011282182,"","N","NONE"
195012042130,"","N","NONE"
195012102165,"","N","NONE"
195101151818,"","N","NONE"
195101271848,"","N","NONE"
195102262267,"","N","NONE"
195103181870,"","N","NONE"
195103222641,"","N","NONE"
195104172555,"","N","NONE"
195105112584,"","N","NONE"
195105222219,"","N","NONE"
195105292832,"","N","NONE"
195106062101,"","N","NONE"
195106092249,"","N","NONE"
195106172181,"","N","NONE"
195107132119,"","N","NONE"
195107152166,"","N","NONE"
195107312323,"","N","NONE"
195108012088,"","N","NONE"
195108122143,"","N","NONE"
195108191833,"","N","NONE"
195109081868,"","N","NONE"
195109182187,"","N","NONE"
195109212224,"","N","NONE"
195109261494,"","N","NONE"
195110102166,"","N","NONE"
195110121695,"","N","NONE"
195111231873,"","N","NONE"
195111232079,"","N","NONE"
195201161857,"","N","NONE"
